Freq,Mag,Phase,Coherence
3773.4375,-5.0930724,342.39725,1.4401215e-06
3785.15625,-2.492229,382.11594,2.6285459e-06
3796.875,1.683879,437.31403,1.4666776e-06
3808.59375,-5.777975,440.71127,1.6339859e-06
3820.3125,1.7965763,408.7274,1.0953675e-06
3832.03125,-1.6778045,440.74533,1.6214568e-06
3843.75,1.9226788,372.21802,1.4122838e-06
3855.46875,-0.6613832,396.8002,2.5831057e-06
3867.1875,-1.5883399,430.9875,1.6012082e-06
3878.90625,6.2210174,453.92938,1.2039474e-06
3890.625,2.751262,457.78485,2.6151474e-06
3902.34375,5.251136,466.16238,1.9612148e-06
3914.0625,5.4144754,525.1608,1.5106543e-06
3925.78125,-2.3151002,486.44836,1.7666761e-06
3937.5,-3.2197576,532.3261,2.2295735e-06
3949.21875,5.2309923,496.99713,2.4097267e-06
3960.9375,3.5802279,483.34772,3.8855496e-06
3972.65625,3.8023176,505.79617,3.2413063e-06
3984.375,8.944315,554.10815,1.567153e-06
3996.09375,6.019519,588.16046,2.2787597e-06
4007.8125,6.143432,570.31323,9.363789e-07
4019.53125,2.7198687,680.2608,1.2152684e-06
4031.25,8.047623,654.21106,1.1005333e-06
4042.96875,1.9625615,665.6279,1.7019122e-06
4054.6875,10.120995,696.9181,1.7691357e-06
4066.40625,-1.7633984,689.69824,1.8814592e-06
4078.125,2.0143552,722.90186,2.628546e-06
4089.84375,4.557079,765.75574,1.7509769e-06
4101.5625,0.3184825,778.24884,1.2182422e-06
4113.28125,-0.25994968,783.9238,2.0182244e-06
4125.0,-1.5808516,795.3362,1.7562365e-06
4136.71875,-3.0405886,789.0107,1.0950023e-06
4148.4375,4.589198,806.00684,1.1287667e-06
4160.15625,-2.5902936,800.5126,1.7914933e-06
4171.875,1.5122166,832.78284,1.124246e-06
4183.59375,-2.3968658,837.1728,1.2794884e-06
4195.3125,-1.2463456,811.79315,1.9662864e-06
4207.03125,-2.913166,802.2975,2.1602634e-06
4218.75,4.5676517,808.2258,2.3450693e-06
4230.46875,-4.595372,744.0503,1.7512801e-06
4242.1875,-0.6766623,740.1688,1.6588139e-06
4253.90625,1.0960122,741.702,1.9424913e-06
4265.625,-3.9708755,743.2949,8.1853983e-07
4277.34375,-4.3092313,800.6056,2.3216417e-06
4289.0625,-3.5588737,727.7361,8.475542e-07
4300.78125,-0.6251381,730.9945,2.1467902e-06
4312.5,-2.1837294,716.03326,2.1586397e-06
4324.21875,-3.460358,721.7976,2.466366e-06
4335.9375,3.4631093,727.2471,1.5545211e-06
4347.65625,-5.0286484,735.0293,2.5255288e-06
4359.375,-4.2337337,758.6763,1.8701646e-06
4371.09375,-6.081042,794.83856,1.9699637e-06
4382.8125,-0.9185113,748.4979,1.505305e-06
4394.53125,-7.7649126,689.49634,1.1249641e-06
4406.25,-4.6864257,700.1443,1.1145949e-06
4417.96875,0.10310924,684.77637,1.1659217e-06
4429.6875,-4.2376113,663.0045,5.733025e-07
4441.40625,0.17377687,641.27924,1.1050921e-06
4453.125,1.0359637,623.66516,8.517149e-07
4464.84375,0.0324357,681.06213,5.7649595e-07
4476.5625,0.20884717,693.56006,7.6649053e-07
4488.28125,1.3460339,692.28345,1.3480334e-06
4500.0,-3.8890758,674.15106,6.3808244e-07
4511.71875,1.0010837,638.38684,8.858993e-07
4523.4375,6.6449175,590.1114,8.411662e-07
4535.15625,0.4187856,590.5378,1.4101693e-06
4546.875,6.3596134,542.0749,1.1333392e-06
4558.59375,1.9290175,562.2398,8.929052e-07
4570.3125,2.6517458,580.1739,9.629052e-07
4582.03125,1.376481,551.8196,6.628115e-07
4593.75,1.275963,568.7966,1.2604465e-06
4605.46875,3.9710906,549.1218,9.0880354e-07
4617.1875,6.644609,565.3794,1.0476634e-06
4628.90625,0.59332883,588.38367,1.0581759e-06
4640.625,1.1917541,607.62775,2.1277415e-06
4652.34375,-2.0720468,626.4464,1.0148312e-06
4664.0625,7.042889,595.32684,1.392747e-06
4675.78125,5.0550256,606.9398,7.6953916e-07
4687.5,-0.19588214,577.1107,2.3364585e-06
4699.21875,-1.8897085,601.2001,3.856293e-06
4710.9375,3.9792202,573.04803,2.608189e-06
4722.65625,-3.2126243,587.1252,3.040379e-06
4734.375,-3.848302,602.418,1.1159615e-06
4746.09375,2.9546757,571.88586,2.5429604e-06
4757.8125,-4.63031,604.4117,1.9360295e-06
4769.53125,-2.6058831,558.3803,4.784558e-06
4781.25,-3.6550293,529.70013,2.8970012e-06
4792.96875,-1.2454007,540.78253,3.121107e-06
4804.6875,-0.7306189,519.5468,2.8392392e-06
4816.40625,-1.4291337,556.26483,2.6995865e-06
4828.125,-2.9973922,544.0867,1.0869527e-06
4839.84375,-2.9292006,562.8155,2.7170133e-06
4851.5625,-2.3803673,550.9593,4.4634253e-06
4863.28125,5.2789416,556.69244,2.2429201e-06
4875.0,3.3658414,556.6238,9.932144e-07
4886.71875,4.06043,524.7134,1.7412376e-06
4898.4375,-2.3791437,469.38263,3.6021568e-06
4910.15625,1.9071902,463.3548,3.814359e-06
4921.875,-4.599442,484.11133,1.9141796e-06
4933.59375,-2.9867687,462.7919,2.264063e-06
4945.3125,3.9930468,464.34702,1.9237443e-06
